id,name,code,active,contact,phone,address,zip,email,name_en,chars,remark
0484j841xbtog,佛山市盛天泽汇科技有限公司,5006,1,张经理,13928657890,佛山市顺德区容桂街道高新科技园12栋,528305,stzhkj@163.com,ShengTianZeHui Technology Co.Ltd,STT,主营小家电配件批发
0484j8429tbeo,中山长龙电器有限公司,0307,1,李总,13823456789,中山市东凤镇家电产业园8号,528425,cl电器@126.com,ChangLong Electric Appliance Co.Ltd,CEA,专业生产小家电整机
0484j842cb7r4,广东长利暖通空调股份有限公司,0102,1,王经理,13765432109,广州市黄埔区经济技术开发区兴业路23号,510730,clntkt@qq.com,ChangLi HVAC Air Conditioning Co.Ltd,CHA,小家电暖通配件定制
0484j842hb0g0,佛山市顺德区美好健康科技有限公司,0120,1,陈总监,13698765432,佛山市顺德区北滘镇美的大道6号,528311,mhjktech@163.com,MeiHao Health Technology Co.Ltd,MHT,主营养生类小家电
0484j842jswsg,佛山市顺德区大力电器有限公司,0123,1,黄经理,13587654321,佛山市顺德区伦教街道熹涌工业区9号,528308,dl电器@qq.com,DaLi Electric Appliance Co.Ltd,DEA,小家电核心部件生产
0484j842mat4w,广东海风家电有限公司,0151,1,赵总,13476543210,东莞市塘厦镇林村工业区15号,523710,hfjd@126.com,HaiFeng Home Appliance Co.Ltd,HFS,线下小家电连锁门店
0484j842osphc,顺德一航塑料五金厂,0152,1,周厂长,13365432109,佛山市顺德区勒流街道富安工业区22号,528322,yhslwj@163.com,YiHang Plastic Hardware Factory,YHP,小家电注塑/五金件加工
0484j842ralts,广东顺德禾目电子科技有限公司,0154,1,吴经理,13254321098,佛山市顺德区容桂街道华口工业区18号,528305,hmdztech@qq.com,HeMu Electronic Technology Co.Ltd,HME,小家电电控部件供应
0484j842tsi68,零售客户,0155,1,个人客户,1008611,全国各地区,000000,retail@163.com,Retail Customer,CC,线上线下零散采购
0484j842tsi69,广东腾育机器人自动化有限公司,0156,1,郑经理,13143210987,深圳市宝安区福永街道凤凰工业区7号,518103,tyjqauto@126.com,TengYu Robot Automation Co.Ltd,TYR,小家电生产设备供应
